#Standard Solar Model (BP2004)
#
#astro-ph/0402114
#
#Columns in the Standard Model table (below) represent:
#
#1)  Mass fraction in units of the solar mass
#2)  Radius of the zone in units of one solar radius
#3)  Temperature in units of deg (K)
#4)  Density in units of g/cm^3
#5)  Pressure in units of dyn/cm^2
#6)  Luminosity fraction in units of the solar luminosity
#7)  X(^1H): the hydrogen mass fraction
#8)  X(^4He): the helium 4 mass fraction
#9)  X(^3He): the helium 3 mass fraction
#10) X(^12C): the carbon 12 mass fraction
#11) X(^14N): the nitrogen 14 mass fraction
#12) X(^16O): the oxygen 16 mass fraction
#
# Lsun 3.8418E+33
# Rsun 6.9598E+10
# The Table begins here.
#
#
#  M/Msun    R/Rsun      T         Rho        P        L/Lsun      X        Y        He3      C12       N14       O16
 0.0000470  0.00756  1.570e+07  1.530e+02  2.348e+17  0.00042  0.34033  0.63986  7.33e-06  2.41e-05  5.47e-03  8.65e-03  
 0.0000492  0.00768  1.570e+07  1.529e+02  2.348e+17  0.00044  0.34039  0.63980  7.34e-06  2.41e-05  5.47e-03  8.65e-03  
 0.0000515  0.00780  1.570e+07  1.529e+02  2.348e+17  0.00046  0.34045  0.63974  7.34e-06  2.41e-05  5.47e-03  8.65e-03  
 0.0000539  0.00792  1.569e+07  1.529e+02  2.347e+17  0.00048  0.34051  0.63968  7.35e-06  2.41e-05  5.47e-03  8.65e-03  
 0.0000564  0.00804  1.569e+07  1.529e+02  2.347e+17  0.00051  0.34057  0.63962  7.35e-06  2.41e-05  5.47e-03  8.65e-03  
 0.0000591  0.00816  1.569e+07  1.528e+02  2.347e+17  0.00053  0.34064  0.63955  7.35e-06  2.41e-05  5.46e-03  8.65e-03  
 0.0000618  0.00829  1.569e+07  1.528e+02  2.346e+17  0.00055  0.34070  0.63948  7.36e-06  2.41e-05  5.46e-03  8.66e-03  
 0.0000647  0.00841  1.569e+07  1.528e+02  2.346e+17  0.00058  0.34077  0.63942  7.36e-06  2.41e-05  5.46e-03  8.66e-03  
 0.0000677  0.00854  1.569e+07  1.528e+02  2.346e+17  0.00061  0.34084  0.63934  7.37e-06  2.41e-05  5.46e-03  8.66e-03  
 0.0000709  0.00867  1.569e+07  1.527e+02  2.345e+17  0.00064  0.34092  0.63927  7.37e-06  2.41e-05  5.46e-03  8.66e-03  
 0.0000742  0.00881  1.569e+07  1.527e+02  2.345e+17  0.00066  0.34099  0.63920  7.38e-06  2.41e-05  5.46e-03  8.66e-03  
 0.0000776  0.00894  1.569e+07  1.527e+02  2.345e+17  0.00070  0.34107  0.63912  7.38e-06  2.41e-05  5.46e-03  8.66e-03  
 0.0000812  0.00908  1.569e+07  1.527e+02  2.344e+17  0.00073  0.34115  0.63904  7.39e-06  2.41e-05  5.46e-03  8.66e-03  
 0.0000850  0.00922  1.569e+07  1.526e+02  2.344e+17  0.00076  0.34123  0.63896  7.40e-06  2.40e-05  5.46e-03  8.66e-03  
 0.0000889  0.00936  1.569e+07  1.526e+02  2.343e+17  0.00080  0.34132  0.63887  7.40e-06  2.40e-05  5.46e-03  8.66e-03  
 0.0000931  0.00950  1.568e+07  1.526e+02  2.343e+17  0.00083  0.34140  0.63879  7.41e-06  2.40e-05  5.46e-03  8.66e-03  
 0.0000974  0.00964  1.568e+07  1.525e+02  2.343e+17  0.00087  0.34149  0.63870  7.41e-06  2.40e-05  5.46e-03  8.66e-03  
 0.0001019  0.00979  1.568e+07  1.525e+02  2.342e+17  0.00091  0.34159  0.63860  7.42e-06  2.40e-05  5.46e-03  8.66e-03  
 0.0001066  0.00994  1.568e+07  1.525e+02  2.342e+17  0.00095  0.34168  0.63851  7.43e-06  2.40e-05  5.46e-03  8.66e-03  
 0.0001115  0.01009  1.568e+07  1.524e+02  2.341e+17  0.00100  0.34178  0.63841  7.43e-06  2.40e-05  5.46e-03  8.66e-03  
 0.0001167  0.01025  1.568e+07  1.524e+02  2.341e+17  0.00104  0.34188  0.63831  7.44e-06  2.40e-05  5.46e-03  8.66e-03  
 0.0001221  0.01040  1.568e+07  1.523e+02  2.340e+17  0.00109  0.34199  0.63820  7.45e-06  2.40e-05  5.45e-03  8.66e-03  
 0.0001277  0.01056  1.568e+07  1.523e+02  2.340e+17  0.00114  0.34209  0.63810  7.45e-06  2.40e-05  5.45e-03  8.67e-03  
 0.0001336  0.01072  1.568e+07  1.523e+02  2.339e+17  0.00119  0.34220  0.63799  7.46e-06  2.40e-05  5.45e-03  8.67e-03  
 0.0001398  0.01088  1.567e+07  1.522e+02  2.339e+17  0.00125  0.34232  0.63787  7.47e-06  2.40e-05  5.45e-03  8.67e-03  
 0.0001462  0.01105  1.567e+07  1.522e+02  2.338e+17  0.00131  0.34243  0.63776  7.48e-06  2.40e-05  5.45e-03  8.67e-03  
 0.0001529  0.01122  1.567e+07  1.521e+02  2.337e+17  0.00137  0.34256  0.63764  7.49e-06  2.40e-05  5.45e-03  8.67e-03  
 0.0001600  0.01139  1.567e+07  1.521e+02  2.337e+17  0.00143  0.34268  0.63751  7.50e-06  2.40e-05  5.45e-03  8.67e-03  
 0.0001673  0.01156  1.567e+07  1.520e+02  2.336e+17  0.00150  0.34281  0.63739  7.50e-06  2.39e-05  5.45e-03  8.67e-03  
 0.0001750  0.01173  1.567e+07  1.520e+02  2.336e+17  0.00156  0.34294  0.63725  7.51e-06  2.39e-05  5.45e-03  8.67e-03  
 0.0001830  0.01191  1.567e+07  1.519e+02  2.335e+17  0.00163  0.34307  0.63712  7.52e-06  2.39e-05  5.45e-03  8.67e-03  
 0.0001914  0.01209  1.566e+07  1.519e+02  2.334e+17  0.00171  0.34321  0.63698  7.53e-06  2.39e-05  5.45e-03  8.67e-03  
 0.0002001  0.01227  1.566e+07  1.518e+02  2.334e+17  0.00179  0.34336  0.63684  7.54e-06  2.39e-05  5.44e-03  8.67e-03  
 0.0002093  0.01246  1.566e+07  1.518e+02  2.333e+17  0.00187  0.34350  0.63669  7.55e-06  2.39e-05  5.44e-03  8.68e-03  
 0.0002188  0.01264  1.566e+07  1.517e+02  2.332e+17  0.00195  0.34365  0.63654  7.56e-06  2.39e-05  5.44e-03  8.68e-03  
 0.0002288  0.01283  1.566e+07  1.517e+02  2.331e+17  0.00204  0.34381  0.63638  7.57e-06  2.39e-05  5.44e-03  8.68e-03  
 0.0002392  0.01303  1.566e+07  1.516e+02  2.331e+17  0.00213  0.34397  0.63622  7.59e-06  2.39e-05  5.44e-03  8.68e-03  
 0.0002501  0.01322  1.565e+07  1.515e+02  2.330e+17  0.00223  0.34414  0.63606  7.60e-06  2.39e-05  5.44e-03  8.68e-03  
 0.0002615  0.01342  1.565e+07  1.515e+02  2.329e+17  0.00233  0.34431  0.63589  7.61e-06  2.38e-05  5.44e-03  8.68e-03  
 0.0002733  0.01362  1.565e+07  1.514e+02  2.328e+17  0.00244  0.34448  0.63572  7.62e-06  2.38e-05  5.44e-03  8.68e-03  
 0.0002857  0.01383  1.565e+07  1.514e+02  2.327e+17  0.00255  0.34466  0.63554  7.63e-06  2.38e-05  5.43e-03  8.68e-03  
 0.0002986  0.01403  1.565e+07  1.513e+02  2.326e+17  0.00266  0.34484  0.63535  7.65e-06  2.38e-05  5.43e-03  8.69e-03  
 0.0003121  0.01424  1.565e+07  1.512e+02  2.325e+17  0.00278  0.34503  0.63516  7.66e-06  2.38e-05  5.43e-03  8.69e-03  
 0.0003262  0.01445  1.564e+07  1.511e+02  2.324e+17  0.00290  0.34523  0.63497  7.67e-06  2.38e-05  5.43e-03  8.69e-03  
 0.0003408  0.01467  1.564e+07  1.511e+02  2.323e+17  0.00303  0.34543  0.63477  7.69e-06  2.38e-05  5.43e-03  8.69e-03  
 0.0003561  0.01489  1.564e+07  1.510e+02  2.322e+17  0.00317  0.34563  0.63456  7.70e-06  2.38e-05  5.43e-03  8.69e-03  
 0.0003721  0.01511  1.564e+07  1.509e+02  2.321e+17  0.00331  0.34584  0.63435  7.72e-06  2.37e-05  5.43e-03  8.69e-03  
 0.0003888  0.01533  1.563e+07  1.508e+02  2.320e+17  0.00346  0.34606  0.63414  7.73e-06  2.37e-05  5.42e-03  8.69e-03  
 0.0004061  0.01556  1.563e+07  1.508e+02  2.319e+17  0.00361  0.34628  0.63391  7.75e-06  2.37e-05  5.42e-03  8.70e-03  
 0.0004242  0.01579  1.563e+07  1.507e+02  2.318e+17  0.00377  0.34651  0.63368  7.77e-06  2.37e-05  5.42e-03  8.70e-03  
 0.0004431  0.01602  1.563e+07  1.506e+02  2.317e+17  0.00393  0.34675  0.63345  7.78e-06  2.37e-05  5.42e-03  8.70e-03  
 0.0004628  0.01626  1.562e+07  1.505e+02  2.316e+17  0.00411  0.34699  0.63321  7.80e-06  2.37e-05  5.42e-03  8.70e-03  
 0.0004833  0.01649  1.562e+07  1.504e+02  2.315e+17  0.00429  0.34724  0.63296  7.82e-06  2.37e-05  5.42e-03  8.70e-03  
 0.0005046  0.01674  1.562e+07  1.503e+02  2.313e+17  0.00448  0.34749  0.63271  7.84e-06  2.36e-05  5.41e-03  8.70e-03  
 0.0005269  0.01698  1.562e+07  1.502e+02  2.312e+17  0.00467  0.34775  0.63245  7.86e-06  2.36e-05  5.41e-03  8.71e-03  
 0.0005501  0.01723  1.561e+07  1.501e+02  2.311e+17  0.00487  0.34802  0.63218  7.88e-06  2.36e-05  5.41e-03  8.71e-03  
 0.0005742  0.01748  1.561e+07  1.500e+02  2.309e+17  0.00509  0.34830  0.63190  7.90e-06  2.36e-05  5.41e-03  8.71e-03  
 0.0005993  0.01773  1.561e+07  1.499e+02  2.308e+17  0.00531  0.34858  0.63162  7.92e-06  2.36e-05  5.41e-03  8.71e-03  
 0.0006255  0.01799  1.560e+07  1.498e+02  2.307e+17  0.00553  0.34887  0.63133  7.94e-06  2.36e-05  5.41e-03  8.71e-03  
 0.0006527  0.01825  1.560e+07  1.497e+02  2.305e+17  0.00577  0.34917  0.63104  7.96e-06  2.35e-05  5.40e-03  8.72e-03  
 0.0006810  0.01851  1.560e+07  1.496e+02  2.304e+17  0.00602  0.34947  0.63073  7.98e-06  2.35e-05  5.40e-03  8.72e-03  
 0.0007105  0.01878  1.559e+07  1.495e+02  2.302e+17  0.00628  0.34978  0.63042  8.00e-06  2.35e-05  5.40e-03  8.72e-03  
 0.0007411  0.01905  1.559e+07  1.494e+02  2.301e+17  0.00655  0.35010  0.63010  8.03e-06  2.35e-05  5.40e-03  8.72e-03  
 0.0007730  0.01932  1.559e+07  1.492e+02  2.299e+17  0.00682  0.35043  0.62978  8.05e-06  2.35e-05  5.39e-03  8.72e-03  
 0.0008061  0.01960  1.558e+07  1.491e+02  2.297e+17  0.00711  0.35076  0.62944  8.08e-06  2.34e-05  5.39e-03  8.73e-03  
 0.0008406  0.01987  1.558e+07  1.490e+02  2.296e+17  0.00741  0.35111  0.62910  8.10e-06  2.34e-05  5.39e-03  8.73e-03  
 0.0008763  0.02016  1.557e+07  1.489e+02  2.294e+17  0.00772  0.35146  0.62875  8.13e-06  2.34e-05  5.39e-03  8.73e-03  
 0.0009135  0.02044  1.557e+07  1.487e+02  2.292e+17  0.00804  0.35182  0.62839  8.15e-06  2.34e-05  5.38e-03  8.73e-03  
 0.0009521  0.02073  1.557e+07  1.486e+02  2.291e+17  0.00838  0.35219  0.62802  8.18e-06  2.34e-05  5.38e-03  8.74e-03  
 0.0009922  0.02102  1.556e+07  1.485e+02  2.289e+17  0.00873  0.35257  0.62764  8.21e-06  2.33e-05  5.38e-03  8.74e-03  
 0.0010338  0.02131  1.556e+07  1.483e+02  2.287e+17  0.00909  0.35295  0.62726  8.24e-06  2.33e-05  5.38e-03  8.74e-03  
 0.0010770  0.02161  1.555e+07  1.482e+02  2.285e+17  0.00946  0.35335  0.62686  8.27e-06  2.33e-05  5.37e-03  8.74e-03  
 0.0011218  0.02191  1.555e+07  1.480e+02  2.283e+17  0.00985  0.35375  0.62646  8.30e-06  2.33e-05  5.37e-03  8.75e-03  
 0.0011683  0.02221  1.554e+07  1.479e+02  2.281e+17  0.01025  0.35417  0.62605  8.33e-06  2.32e-05  5.37e-03  8.75e-03  
 0.0012165  0.02252  1.554e+07  1.477e+02  2.279e+17  0.01066  0.35459  0.62562  8.36e-06  2.32e-05  5.37e-03  8.75e-03  
 0.0012665  0.02283  1.554e+07  1.476e+02  2.277e+17  0.01109  0.35502  0.62519  8.40e-06  2.32e-05  5.36e-03  8.75e-03  
 0.0013182  0.02314  1.553e+07  1.474e+02  2.275e+17  0.01154  0.35546  0.62475  8.43e-06  2.32e-05  5.36e-03  8.76e-03  
 0.0013719  0.02345  1.553e+07  1.472e+02  2.272e+17  0.01200  0.35591  0.62430  8.46e-06  2.31e-05  5.36e-03  8.76e-03  
 0.0014274  0.02377  1.552e+07  1.471e+02  2.270e+17  0.01248  0.35637  0.62384  8.50e-06  2.31e-05  5.35e-03  8.76e-03  
 0.0014850  0.02409  1.551e+07  1.469e+02  2.268e+17  0.01297  0.35684  0.62338  8.54e-06  2.31e-05  5.35e-03  8.76e-03  
 0.0015445  0.02442  1.551e+07  1.467e+02  2.266e+17  0.01348  0.35732  0.62290  8.57e-06  2.30e-05  5.35e-03  8.77e-03  
 0.0016061  0.02474  1.550e+07  1.466e+02  2.263e+17  0.01400  0.35781  0.62241  8.61e-06  2.30e-05  5.35e-03  8.77e-03  
 0.0016698  0.02507  1.550e+07  1.464e+02  2.261e+17  0.01455  0.35830  0.62191  8.65e-06  2.30e-05  5.34e-03  8.77e-03  
 0.0017357  0.02540  1.549e+07  1.462e+02  2.258e+17  0.01511  0.35881  0.62141  8.69e-06  2.30e-05  5.34e-03  8.78e-03  
 0.0018038  0.02574  1.549e+07  1.460e+02  2.256e+17  0.01569  0.35933  0.62089  8.73e-06  2.29e-05  5.34e-03  8.78e-03  
 0.0018742  0.02608  1.548e+07  1.458e+02  2.253e+17  0.01628  0.35986  0.62036  8.77e-06  2.29e-05  5.33e-03  8.78e-03  
 0.0019468  0.02642  1.548e+07  1.456e+02  2.251e+17  0.01690  0.36040  0.61982  8.82e-06  2.29e-05  5.33e-03  8.79e-03  
 0.0020219  0.02676  1.547e+07  1.454e+02  2.248e+17  0.01754  0.36094  0.61928  8.86e-06  2.28e-05  5.33e-03  8.79e-03  
 0.0020994  0.02710  1.546e+07  1.452e+02  2.245e+17  0.01819  0.36150  0.61872  8.90e-06  2.28e-05  5.32e-03  8.79e-03  
 0.0021793  0.02745  1.546e+07  1.450e+02  2.242e+17  0.01887  0.36207  0.61815  8.95e-06  2.28e-05  5.32e-03  8.80e-03  
 0.0022618  0.02780  1.545e+07  1.448e+02  2.240e+17  0.01956  0.36265  0.61758  9.00e-06  2.27e-05  5.32e-03  8.80e-03  
 0.0023469  0.02815  1.544e+07  1.446e+02  2.237e+17  0.02028  0.36324  0.61699  9.04e-06  2.27e-05  5.31e-03  8.80e-03  
 0.0024345  0.02851  1.544e+07  1.444e+02  2.234e+17  0.02101  0.36383  0.61639  9.09e-06  2.27e-05  5.31e-03  8.81e-03  
 0.0025249  0.02887  1.543e+07  1.442e+02  2.231e+17  0.02177  0.36444  0.61579  9.14e-06  2.26e-05  5.31e-03  8.81e-03  
 0.0026179  0.02923  1.542e+07  1.440e+02  2.228e+17  0.02255  0.36506  0.61517  9.19e-06  2.26e-05  5.30e-03  8.81e-03  
 0.0027137  0.02959  1.542e+07  1.437e+02  2.225e+17  0.02335  0.36569  0.61454  9.24e-06  2.26e-05  5.30e-03  8.82e-03  
 0.0028123  0.02995  1.541e+07  1.435e+02  2.222e+17  0.02417  0.36632  0.61391  9.30e-06  2.25e-05  5.29e-03  8.82e-03  
 0.0029138  0.03032  1.540e+07  1.433e+02  2.219e+17  0.02501  0.36697  0.61326  9.35e-06  2.25e-05  5.29e-03  8.82e-03  
 0.0030181  0.03068  1.539e+07  1.430e+02  2.215e+17  0.02588  0.36763  0.61261  9.41e-06  2.25e-05  5.29e-03  8.83e-03  
 0.0031254  0.03105  1.539e+07  1.428e+02  2.212e+17  0.02677  0.36829  0.61194  9.46e-06  2.24e-05  5.28e-03  8.83e-03  
 0.0032357  0.03143  1.538e+07  1.426e+02  2.209e+17  0.02768  0.36897  0.61127  9.52e-06  2.24e-05  5.28e-03  8.83e-03  
 0.0033490  0.03180  1.537e+07  1.423e+02  2.205e+17  0.02862  0.36966  0.61058  9.58e-06  2.23e-05  5.28e-03  8.84e-03  
 0.0034653  0.03218  1.536e+07  1.421e+02  2.202e+17  0.02958  0.37035  0.60989  9.64e-06  2.23e-05  5.27e-03  8.84e-03  
 0.0035848  0.03255  1.536e+07  1.418e+02  2.199e+17  0.03056  0.37106  0.60918  9.70e-06  2.23e-05  5.27e-03  8.84e-03  
 0.0037074  0.03293  1.535e+07  1.416e+02  2.195e+17  0.03157  0.37177  0.60847  9.76e-06  2.22e-05  5.26e-03  8.85e-03  
 0.0038331  0.03331  1.534e+07  1.413e+02  2.192e+17  0.03260  0.37249  0.60775  9.82e-06  2.22e-05  5.26e-03  8.85e-03  
 0.0039621  0.03369  1.533e+07  1.411e+02  2.188e+17  0.03365  0.37323  0.60702  9.89e-06  2.21e-05  5.26e-03  8.85e-03  
 0.0040943  0.03408  1.532e+07  1.408e+02  2.184e+17  0.03473  0.37397  0.60628  9.95e-06  2.21e-05  5.25e-03  8.86e-03  
 0.0042298  0.03446  1.531e+07  1.405e+02  2.181e+17  0.03583  0.37472  0.60553  1.00e-05  2.21e-05  5.25e-03  8.86e-03  
 0.0043685  0.03485  1.530e+07  1.403e+02  2.177e+17  0.03696  0.37548  0.60477  1.01e-05  2.20e-05  5.24e-03  8.86e-03  
 0.0045106  0.03524  1.530e+07  1.400e+02  2.173e+17  0.03811  0.37625  0.60400  1.02e-05  2.20e-05  5.24e-03  8.87e-03  
 0.0046561  0.03563  1.529e+07  1.397e+02  2.170e+17  0.03929  0.37702  0.60323  1.02e-05  2.19e-05  5.24e-03  8.87e-03  
 0.0048050  0.03602  1.528e+07  1.395e+02  2.166e+17  0.04049  0.37781  0.60244  1.03e-05  2.19e-05  5.23e-03  8.88e-03  
 0.0049573  0.03641  1.527e+07  1.392e+02  2.162e+17  0.04171  0.37860  0.60165  1.04e-05  2.19e-05  5.23e-03  8.88e-03  
 0.0051130  0.03680  1.526e+07  1.389e+02  2.158e+17  0.04296  0.37940  0.60085  1.04e-05  2.18e-05  5.22e-03  8.88e-03  
 0.0052722  0.03719  1.525e+07  1.386e+02  2.154e+17  0.04424  0.38021  0.60004  1.05e-05  2.18e-05  5.22e-03  8.89e-03  
 0.0054349  0.03759  1.524e+07  1.383e+02  2.150e+17  0.04554  0.38103  0.59923  1.06e-05  2.17e-05  5.22e-03  8.89e-03  
 0.0056010  0.03798  1.523e+07  1.380e+02  2.146e+17  0.04686  0.38185  0.59840  1.07e-05  2.17e-05  5.21e-03  8.89e-03  
 0.0057707  0.03838  1.522e+07  1.378e+02  2.142e+17  0.04821  0.38269  0.59757  1.07e-05  2.16e-05  5.21e-03  8.90e-03  
 0.0059440  0.03878  1.521e+07  1.375e+02  2.138e+17  0.04959  0.38353  0.59673  1.08e-05  2.16e-05  5.20e-03  8.90e-03  
 0.0061208  0.03917  1.520e+07  1.372e+02  2.134e+17  0.05098  0.38438  0.59589  1.09e-05  2.16e-05  5.20e-03  8.90e-03  
 0.0063011  0.03957  1.519e+07  1.369e+02  2.129e+17  0.05241  0.38523  0.59503  1.10e-05  2.15e-05  5.20e-03  8.91e-03  
 0.0064851  0.03997  1.518e+07  1.366e+02  2.125e+17  0.05386  0.38609  0.59417  1.11e-05  2.15e-05  5.19e-03  8.91e-03  
 0.0066726  0.04037  1.517e+07  1.363e+02  2.121e+17  0.05533  0.38696  0.59331  1.12e-05  2.14e-05  5.19e-03  8.91e-03  
 0.0068638  0.04077  1.516e+07  1.360e+02  2.117e+17  0.05682  0.38784  0.59243  1.12e-05  2.14e-05  5.18e-03  8.92e-03  
 0.0070586  0.04117  1.515e+07  1.357e+02  2.112e+17  0.05835  0.38872  0.59155  1.13e-05  2.13e-05  5.18e-03  8.92e-03  
 0.0072570  0.04158  1.514e+07  1.354e+02  2.108e+17  0.05989  0.38961  0.59066  1.14e-05  2.13e-05  5.18e-03  8.93e-03  
 0.0074590  0.04198  1.513e+07  1.351e+02  2.104e+17  0.06146  0.39050  0.58977  1.15e-05  2.12e-05  5.17e-03  8.93e-03  
 0.0076648  0.04238  1.512e+07  1.347e+02  2.099e+17  0.06305  0.39140  0.58887  1.16e-05  2.12e-05  5.17e-03  8.93e-03  
 0.0078741  0.04278  1.511e+07  1.344e+02  2.095e+17  0.06467  0.39231  0.58797  1.17e-05  2.12e-05  5.16e-03  8.94e-03  
 0.0080872  0.04319  1.510e+07  1.341e+02  2.090e+17  0.06631  0.39322  0.58706  1.18e-05  2.11e-05  5.16e-03  8.94e-03  
 0.0083039  0.04359  1.509e+07  1.338e+02  2.086e+17  0.06798  0.39414  0.58614  1.19e-05  2.11e-05  5.16e-03  8.94e-03  
 0.0085242  0.04399  1.508e+07  1.335e+02  2.081e+17  0.06966  0.39506  0.58522  1.20e-05  2.10e-05  5.15e-03  8.95e-03  
 0.0087482  0.04440  1.507e+07  1.332e+02  2.077e+17  0.07137  0.39599  0.58429  1.21e-05  2.10e-05  5.15e-03  8.95e-03  
 0.0089759  0.04480  1.506e+07  1.329e+02  2.072e+17  0.07311  0.39693  0.58336  1.22e-05  2.09e-05  5.14e-03  8.95e-03  
 0.0092073  0.04521  1.504e+07  1.325e+02  2.068e+17  0.07487  0.39786  0.58242  1.23e-05  2.09e-05  5.14e-03  8.95e-03  
 0.0094423  0.04561  1.503e+07  1.322e+02  2.063e+17  0.07665  0.39881  0.58148  1.24e-05  2.08e-05  5.14e-03  8.96e-03  
 0.0096811  0.04601  1.502e+07  1.319e+02  2.058e+17  0.07845  0.39976  0.58053  1.25e-05  2.08e-05  5.13e-03  8.96e-03  
 0.0099235  0.04642  1.501e+07  1.316e+02  2.054e+17  0.08027  0.40071  0.57958  1.26e-05  2.07e-05  5.13e-03  8.96e-03  
 0.0101695  0.04682  1.500e+07  1.312e+02  2.049e+17  0.08212  0.40167  0.57862  1.27e-05  2.07e-05  5.12e-03  8.97e-03  
 0.0104193  0.04723  1.499e+07  1.309e+02  2.044e+17  0.08399  0.40263  0.57766  1.28e-05  2.07e-05  5.12e-03  8.97e-03  
 0.0106727  0.04763  1.498e+07  1.306e+02  2.040e+17  0.08588  0.40360  0.57670  1.29e-05  2.06e-05  5.12e-03  8.97e-03  
 0.0109297  0.04804  1.496e+07  1.303e+02  2.035e+17  0.08779  0.40457  0.57573  1.30e-05  2.06e-05  5.11e-03  8.98e-03  
 0.0111905  0.04844  1.495e+07  1.299e+02  2.030e+17  0.08972  0.40554  0.57476  1.31e-05  2.05e-05  5.11e-03  8.98e-03  
 0.0114548  0.04884  1.494e+07  1.296e+02  2.025e+17  0.09168  0.40652  0.57378  1.32e-05  2.05e-05  5.11e-03  8.98e-03  
 0.0117229  0.04925  1.493e+07  1.293e+02  2.021e+17  0.09365  0.40750  0.57280  1.33e-05  2.04e-05  5.10e-03  8.98e-03  
 0.0119946  0.04965  1.492e+07  1.290e+02  2.016e+17  0.09565  0.40848  0.57182  1.34e-05  2.04e-05  5.10e-03  8.99e-03  
 0.0122699  0.05006  1.491e+07  1.286e+02  2.011e+17  0.09766  0.40947  0.57083  1.36e-05  2.03e-05  5.10e-03  8.99e-03  
 0.0125489  0.05046  1.489e+07  1.283e+02  2.006e+17  0.09970  0.41046  0.56984  1.37e-05  2.03e-05  5.09e-03  8.99e-03  
 0.0128315  0.05086  1.488e+07  1.280e+02  2.001e+17  0.10175  0.41146  0.56885  1.38e-05  2.02e-05  5.09e-03  8.99e-03  
 0.0131177  0.05127  1.487e+07  1.276e+02  1.996e+17  0.10383  0.41246  0.56785  1.39e-05  2.02e-05  5.09e-03  9.00e-03  
 0.0134075  0.05167  1.486e+07  1.273e+02  1.991e+17  0.10593  0.41346  0.56686  1.40e-05  2.02e-05  5.08e-03  9.00e-03  
 0.0137010  0.05207  1.485e+07  1.270e+02  1.986e+17  0.10804  0.41446  0.56585  1.41e-05  2.01e-05  5.08e-03  9.00e-03  
 0.0139980  0.05248  1.483e+07  1.266e+02  1.982e+17  0.11017  0.41547  0.56485  1.43e-05  2.01e-05  5.08e-03  9.00e-03  
 0.0142987  0.05288  1.482e+07  1.263e+02  1.977e+17  0.11233  0.41648  0.56384  1.44e-05  2.00e-05  5.07e-03  9.01e-03  
 0.0146030  0.05328  1.481e+07  1.260e+02  1.972e+17  0.11450  0.41749  0.56283  1.45e-05  2.00e-05  5.07e-03  9.01e-03  
 0.0149109  0.05368  1.480e+07  1.256e+02  1.967e+17  0.11668  0.41850  0.56182  1.46e-05  1.99e-05  5.07e-03  9.01e-03  
 0.0152222  0.05408  1.478e+07  1.253e+02  1.962e+17  0.11889  0.41952  0.56081  1.48e-05  1.99e-05  5.06e-03  9.01e-03  
 0.0155373  0.05448  1.477e+07  1.249e+02  1.957e+17  0.12112  0.42053  0.55979  1.49e-05  1.98e-05  5.06e-03  9.02e-03  
 0.0158558  0.05489  1.476e+07  1.246e+02  1.952e+17  0.12336  0.42155  0.55877  1.50e-05  1.98e-05  5.06e-03  9.02e-03  
 0.0161779  0.05529  1.475e+07  1.243e+02  1.947e+17  0.12562  0.42257  0.55775  1.52e-05  1.97e-05  5.05e-03  9.02e-03  
